# خريطة 28 ← 17 — ملحق و3 المودَع
# رواية المنير (ص ٤٧–٥٧، طبعة 48/2022) بقاعدة «المخرج الحركي»: ا حاملةَ الهمزة أقصى الحلق؛ و الشفتان؛ ي الحافة.
# الجوف صفةُ مدٍّ لا قسم (إسقاط معلن)، والخيشوم غنة لا حرف (إسقاط معلن).
# السلّم المرجعي (17): الجوف 1 · الحلق 2-4 · اللسان 5-12 · الشفتان 13-14 · الخيشوم 15-17 بتفاصيل الجزري.
letter	position	المصدر-الصفحة
ا	2	ص ٥٠ (همزة قطع بعد التطبيع)
ء	2	ص ٥٠
ه	2	ص ٥٠
ع	3	ص ٥٣
ح	3	ص ٥٤
غ	4	ص ٥٤
خ	4	ص ٥٤
ق	5	ص ٥٥
ك	6	ص ٥٦
ج	7	ص ٥٥
ش	7	ص ٥٥
ي	7	ص ٥٥
ض	7	ص ٥٧-٥٨
ص	8	ص ٥٥
س	8	ص ٥٥
ز	8	ص ٥٥
ط	9	ص ٥٥
د	9	ص ٥٥
ت	9	ص ٥٥
ظ	10	ص ٥٥
ذ	10	ص ٥٥
ث	10	ص ٥٥
ر	11	ص ٥٥
ل	12	ص ٥٥
ن	12	ص ٥٥
ف	13	ص (باطن الشفة)
ب	14	ص (الشفتان)
م	14	ص (الشفتان)
و	14	ص (الشفتان — حركيًّا؛ الجوف للمد)
