# جدولُ أدوار حروف «سألتمونيها» في فضاء الـ١١٢ — مسوّدةٌ **غيرُ موقَّعة**
# التوقيع: — (غيرُ موقَّعة) | الصائغ: الآلة (مسوّدة) | الحال: DRAFT
# يُقاس أثرُه ولا تُنقَل عنه حالُ مستوى «الكلمة المفردة» حتّى يُوقَّع.
#
# الحروفُ تسعةٌ لا عشرة: الطيُّ في run_cv_peel يجمع أسرة الألف (ا ء أ إ آ ؤ ئ ى)
# في «ا»، فتقع همزةُ «سألتمونيها» وألفُها في وحدةٍ واحدة. ويطوي ة في «ه».
#
# الأدوارُ الأربعة:
#   أ = أصليّ: من بنية الكلمة التي هو فيها (جذرُها، أو بنيةُ كلمةٍ لا جذرَ لها
#       كالحروف والضمائر المنفصلة وأسماء الإشارة وفواتح السور)
#   ز = زائدٌ في الوزن: حرفُ زيادةٍ داخلَ البنية الاشتقاقيّة (ألفُ فاعل، ميمُ
#       مفعول، تاءُ افتعل، سينُ استفعل، نونُ انفعل، ياءُ فعيل، همزةُ أفعل…)
#   ل = لاصقةٌ تصريفيّة: علامةٌ ليست كلمة (حرفُ المضارعة، تاءُ التأنيث، ألفُ
#       التأنيث، علاماتُ التثنية والجمع والإعراب بالحروف، نونُ الرفع والوقاية،
#       التنوينُ وذيلُه وألفُه)
#   م = ملتصق: كلمةٌ برأسها كُتبت متّصلة (و ف العطف، ل الجرّ والتوكيد والأمر،
#       س الاستقبال، أل، همزةُ الاستفهام، تاءُ القسم، ها التنبيه، والضمائرُ
#       المتّصلة: ه ها هم كم تم نا ني ي، وتاءُ الفاعل، وواوُ الجماعة وألفُها
#       الفارقة، وألفُ الاثنين، ونونُ النسوة)
#
# الموضعُ في اللفظ بعد تقشيره إلى وحدات: أوّل (الوحدة الأولى، وإليه اللفظُ ذو
# الوحدة الواحدة) · آخر (الوحدة الأخيرة) · وسط (ما بينهما). والحالُ حالُ الوحدة.
# الشدّةُ وحدتان، والتنوينُ وحدتان آخرُهما ذيلُ نونٍ ساكنة؛ فما قبل الذيل وسط.
# والخانةُ الفارغة (—) خانةٌ لا يُتوقَّع فيها الحرف.
#
حرف	موضع	حال	أدوار	شواهد
ا	أوّل	فتحة	أ،ز،ل،م	أَمَرَ · أَنْزَلَ · أَعُوذُ · أَلَمْ
ا	أوّل	ضمة	أ،ز،ل	أُمّ · أُنْزِلَ · أُرِيدُ
ا	أوّل	كسرة	أ،ز	إِلَى · إِنْزَال
ا	أوّل	سكون	أ،ز،ل،م	آدَم · اسْتَغْفِرْ · آتِيكُمْ · الْحَمْدُ
ا	وسط	فتحة	أ،ز،ل،م	سَأَلَ · وَأَنْزَلَ · وَأَعُوذُ · عَذَاباً · أَأَنْذَرْتَ
ا	وسط	ضمة	أ،ز،ل	فَأُولَئِكَ · فَأُنْزِلَ · وَأُرِيدُ
ا	وسط	كسرة	أ،ز	فَإِنَّ · لِإِيلَافِ
ا	وسط	سكون	أ،ز،ل،م	قَالَ · فَاعِل · رَجُلَانِ · وَالْ · أَنْزَلْنَاهُ
ا	آخر	فتحة	أ،ز،ل	جَاءَ · أَنْبِيَاءَ · صَحْرَاءَ
ا	آخر	ضمة	أ،ز،ل	يَشَاءُ · أَوْلِيَاءُ · حَمْرَاءُ
ا	آخر	كسرة	أ،ز،ل	السَّمَاءِ · أَوْلِيَاءِ · صَحْرَاءِ
ا	آخر	سكون	أ،ل،م	دَعَا · حُسْنَى · كُفُواً · أَنْزَلْنَا · قَالُوا
س	أوّل	فتحة	أ،م	سَمِعَ · سَيَقُولُ
س	أوّل	ضمة	أ	سُبْحَانَ
س	أوّل	كسرة	أ	سِحْرٌ
س	أوّل	سكون	—	—
س	وسط	فتحة	أ،م	يَسَرَ · وَسَيَعْلَمُ
س	وسط	ضمة	أ	رُسُلٌ
س	وسط	كسرة	أ	نَسِيَ
س	وسط	سكون	أ،ز	يَسْمَعُ · اسْتَغْفَرَ
س	آخر	فتحة	أ	جَلَسَ
س	آخر	ضمة	أ	النَّاسُ
س	آخر	كسرة	أ	النَّاسِ
س	آخر	سكون	أ	يس
ت	أوّل	فتحة	أ،ز،ل،م	تَابَ · تَقَبَّلَ · تَعْلَمُونَ · تَاللَّهِ
ت	أوّل	ضمة	أ،ز،ل	تُرَاب · تُقُبِّلَ · تُؤْمِنُونَ
