# أدوارُ الوحدات الـ١١٢ في المستويات التي لم يغطّها كتابٌ مُودَع — مسوّدةٌ **غيرُ موقَّعة**
# التوقيع: — (غيرُ موقَّعة) | الصائغ: الآلة من محفوظها بطلب صاحب المستودع (٢٦ أيلول ٢٠٢٦) | الحال: DRAFT
# لا تدخل السجلَّ مصدرًا حتّى يكتب صاحبُ المستودع «موقَّع» في سطر التوقيع.
# الأبجديّ: حسابُ الجُمَّل المشرقيّ (أبجد هوّز حطّي كلمن سعفص قرشت ثخذ ضظغ).
# الصفة: قسمةُ ابن الجزريّ (الجهر والهمس، الشدّة والتوسّط والرخاوة، الاستعلاء والاستفال،
#   الإطباق والانفتاح، الإذلاق والإصمات، ثمّ المفردة)؛ وفي «ا» الهمزةُ والألفُ معًا لأنّ الطيَّ جمعهما.
# النحويّ: ما وافق باب الحرف في «الشخصية الإسلامية» ج٣ يُنقَل منه في التشغيل حرفيًّا؛ وهذا العمودُ صياغةُ الآلة.
# الأعمدة: الوحدة، أبجدي: القيمة، صوتي: الصفة، اشتقاقي، صرفي، نحوي، إعرابي، الدال والمدلول معًا، وظيفي: التكملة
اَ	1؛ والحركةُ لا قيمةَ لها؛ وأسرةُ الهمزة المطويّةُ فيها بقيمتها ١	الهمزة: مجهور، شديد، مستفل، منفتح، مُصمَت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ وحرفُ علّةٍ يُعَلّ ويُقلَب ويُحذَف؛ والحالُ لا تغيّر أصالتَه	همزةُ أفعَل (أَكرَم)، وهمزةُ المضارعة للمتكلّم (أَفعلُ)، وهمزةُ أفعَل التفضيل؛ وفي غيرها: حركةُ بنية: فاءُ فَعَل وعينُه، وعينُ يَفعَل، وآخرُ الماضي	همزةُ الاستفهام، وهمزةُ النداء للقريب، وهمزةُ المضارعة دالّةً على المتكلّم	آخرًا: علامةُ نصبٍ أصليّة، وعلامةُ جرٍّ نائبة في الممنوع من الصرف؛ أو حركةُ بناء (الماضي)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: همزةُ الاستفهام، وهمزةُ النداء للقريب، وهمزةُ المضارعة دالّةً على المتكلّم	في جدول «سألتمونيها» (letter_roles_draft.tsv)
اُ	1؛ والحركةُ لا قيمةَ لها؛ وأسرةُ الهمزة المطويّةُ فيها بقيمتها ١	الهمزة: مجهور، شديد، مستفل، منفتح، مُصمَت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ وحرفُ علّةٍ يُعَلّ ويُقلَب ويُحذَف؛ والحالُ لا تغيّر أصالتَه	همزةُ المضارعة للمتكلّم من الرباعي (أُكرِم)، وهمزةُ الوصل مضمومةً في أمرِ ما ثالثُه مضموم (اُكتُب)؛ وفي غيرها: حركةُ بنية: فاءُ فُعِل (المبنيّ للمجهول) وفُعول وفُعَل، وعينُ فَعُل ويَفعُل	همزةُ المضارعة للمتكلّم من الرباعي (أُكرم)	آخرًا: علامةُ رفعٍ أصليّة؛ أو حركةُ بناء (حيثُ، نحنُ)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: همزةُ المضارعة للمتكلّم من الرباعي (أُكرم)	في جدول «سألتمونيها» (letter_roles_draft.tsv)
اِ	1؛ والحركةُ لا قيمةَ لها؛ وأسرةُ الهمزة المطويّةُ فيها بقيمتها ١	الهمزة: مجهور، شديد، مستفل، منفتح، مُصمَت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ وحرفُ علّةٍ يُعَلّ ويُقلَب ويُحذَف؛ والحالُ لا تغيّر أصالتَه	همزةُ الوصل مكسورةً في افعَل وانفعَل وافتعَل واستفعَل، وهمزةُ مصدر أفعَل (إِكرام)؛ وفي غيرها: حركةُ بنية: عينُ فَعِل ويَفعِل وفاعِل ومُفعِل، وعينُ فُعِل، وفاءُ فِعال وفِعْل	همزةُ الوصل: لا دورَ نحويّ لها بذاتها	آخرًا: علامةُ جرٍّ أصليّة، وعلامةُ نصبٍ نائبة في جمع المؤنّث السالم؛ أو حركةُ بناء (هؤلاءِ)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	لا مدلولَ له وحده؛ يُفيد بالنسبة جزءًا من دالّ الجذر أو الصيغة التي يقع فيها	في جدول «سألتمونيها» (letter_roles_draft.tsv)
اْ	1؛ والحركةُ لا قيمةَ لها؛ وأسرةُ الهمزة المطويّةُ فيها بقيمتها ١	الهمزة: مجهور، شديد، مستفل، منفتح، مُصمَت | والألفُ الساكنة: مدٌّ جوفيٌّ هوائيّ، مجهور رخو مستفل منفتح مصمت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ وحرفُ علّةٍ يُعَلّ ويُقلَب ويُحذَف؛ والحالُ لا تغيّر أصالتَه	ألفُ المدّ الزائدة: ألفُ فاعِل وفاعَل وفِعال وفَعّال ومَفاعِل، وألفُ التثنية، وألفُ جمع المؤنّث (ات)، والألفُ اللاحقةُ بتنوين النصب؛ وفي غيرها: سكونُ بنية: فاءُ يَفْعَل ومَفْعول وافْعَل، وعينُ فَعْل؛ وشطرُ الشدّة الأوّل في تضعيف العين (فعّل)	ألفُ الاثنين ضميرًا فاعلًا (قالا)	آخرًا: علامةُ جزمٍ أصليّة في المضارع الصحيح؛ أو سكونُ بناء (الأمر، الحروف)؛ أو سكونُ وقف؛ وعلامةُ رفع المثنّى ونصبِ الأسماء الخمسة؛ وحذفُها علامةُ جزم المعتلّ؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: ألفُ الاثنين ضميرًا فاعلًا (قالا)	في جدول «سألتمونيها» (letter_roles_draft.tsv)
بَ	2؛ والحركةُ لا قيمةَ لها	مجهور، شديد، مستفل، منفتح، مُذلَق، قلقلة كامنة لا تظهر إلا في السكون	أصليٌّ في الجذر، لا يُزاد إلا تكريرًا لعينٍ أو لامٍ (التضعيف)؛ والحالُ لا تغيّر أصالتَه	حركةُ بنية: فاءُ فَعَل وعينُه، وعينُ يَفعَل، وآخرُ الماضي	حرفُ مبنًى: لا يرد حرفَ معنًى في أصناف الحرف في الكتاب؛ ودورُه النحويّ دورُ الكلمة التي هو فيها	آخرًا: علامةُ نصبٍ أصليّة، وعلامةُ جرٍّ نائبة في الممنوع من الصرف؛ أو حركةُ بناء (الماضي)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	لا مدلولَ له وحده؛ يُفيد بالنسبة جزءًا من دالّ الجذر أو الصيغة التي يقع فيها	خارج «سألتمونيها»؛ الأدوار: أ
بُ	2؛ والحركةُ لا قيمةَ لها	مجهور، شديد، مستفل، منفتح، مُذلَق، قلقلة كامنة لا تظهر إلا في السكون	أصليٌّ في الجذر، لا يُزاد إلا تكريرًا لعينٍ أو لامٍ (التضعيف)؛ والحالُ لا تغيّر أصالتَه	حركةُ بنية: فاءُ فُعِل (المبنيّ للمجهول) وفُعول وفُعَل، وعينُ فَعُل ويَفعُل	حرفُ مبنًى: لا يرد حرفَ معنًى في أصناف الحرف في الكتاب؛ ودورُه النحويّ دورُ الكلمة التي هو فيها	آخرًا: علامةُ رفعٍ أصليّة؛ أو حركةُ بناء (حيثُ، نحنُ)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	لا مدلولَ له وحده؛ يُفيد بالنسبة جزءًا من دالّ الجذر أو الصيغة التي يقع فيها	خارج «سألتمونيها»؛ الأدوار: أ
بِ	2؛ والحركةُ لا قيمةَ لها	مجهور، شديد، مستفل، منفتح، مُذلَق، قلقلة كامنة لا تظهر إلا في السكون	أصليٌّ في الجذر، لا يُزاد إلا تكريرًا لعينٍ أو لامٍ (التضعيف)؛ والحالُ لا تغيّر أصالتَه	حركةُ بنية: عينُ فَعِل ويَفعِل وفاعِل ومُفعِل، وعينُ فُعِل، وفاءُ فِعال وفِعْل	باءُ الجرّ: للإلصاق والاستعانة والمصاحبة، وبمعنى على ومن أجل، وزائدة	آخرًا: علامةُ جرٍّ أصليّة، وعلامةُ نصبٍ نائبة في جمع المؤنّث السالم؛ أو حركةُ بناء (هؤلاءِ)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: باءُ الجرّ: للإلصاق والاستعانة والمصاحبة، وبمعنى على ومن أجل، وزائدة	خارج «سألتمونيها»؛ الأدوار: أ | م
بْ	2؛ والحركةُ لا قيمةَ لها	مجهور، شديد، مستفل، منفتح، مُذلَق، قلقلة ظاهرة	أصليٌّ في الجذر، لا يُزاد إلا تكريرًا لعينٍ أو لامٍ (التضعيف)؛ والحالُ لا تغيّر أصالتَه	سكونُ بنية: فاءُ يَفْعَل ومَفْعول وافْعَل، وعينُ فَعْل؛ وشطرُ الشدّة الأوّل في تضعيف العين (فعّل)	حرفُ مبنًى: لا يرد حرفَ معنًى في أصناف الحرف في الكتاب؛ ودورُه النحويّ دورُ الكلمة التي هو فيها	آخرًا: علامةُ جزمٍ أصليّة في المضارع الصحيح؛ أو سكونُ بناء (الأمر، الحروف)؛ أو سكونُ وقف؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	لا مدلولَ له وحده؛ يُفيد بالنسبة جزءًا من دالّ الجذر أو الصيغة التي يقع فيها	خارج «سألتمونيها»؛ الأدوار: أ
تَ	400؛ والحركةُ لا قيمةَ لها	مهموس، شديد، مستفل، منفتح، مُصمَت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ والحالُ لا تغيّر أصالتَه	تاءُ المضارعة (تَفعلُ)، وتاءُ الافتعال (افتَعَل)، وتاءُ تفعَّل وتفاعَل، وتاءُ استفعل (استَفعَل)؛ وفي غيرها: حركةُ بنية: فاءُ فَعَل وعينُه، وعينُ يَفعَل، وآخرُ الماضي	ضميرُ المخاطب المتّصل فاعلًا (فعلتَ)، وتاءُ القسم حرفَ جرّ (تَالله)، وتاءُ المضارعة دالّةً على المخاطب أو الغائبة	آخرًا: علامةُ نصبٍ أصليّة، وعلامةُ جرٍّ نائبة في الممنوع من الصرف؛ أو حركةُ بناء (الماضي)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: ضميرُ المخاطب المتّصل فاعلًا (فعلتَ)، وتاءُ القسم حرفَ جرّ (تَالله)، وتاءُ المضارعة دالّةً على المخاطب أو الغائبة	في جدول «سألتمونيها» (letter_roles_draft.tsv)
تُ	400؛ والحركةُ لا قيمةَ لها	مهموس، شديد، مستفل، منفتح، مُصمَت	يكون أصلًا في الجذر ويكون زائدًا (من «سألتمونيها»)؛ والحالُ لا تغيّر أصالتَه	تاءُ المضارعة من الرباعي (تُكرِم)؛ وفي غيرها: حركةُ بنية: فاءُ فُعِل (المبنيّ للمجهول) وفُعول وفُعَل، وعينُ فَعُل ويَفعُل	ضميرُ المتكلّم المتّصل فاعلًا (فعلتُ)، وضميرُ الخطاب قبل ميم الجمع (فعلتُم)	آخرًا: علامةُ رفعٍ أصليّة؛ أو حركةُ بناء (حيثُ، نحنُ)؛ وغيرَ آخرٍ: لا عملَ إعرابيًّا لحاله	دالٌّ على معنًى في غيره إذا اقترن بلفظ: ضميرُ المتكلّم المتّصل فاعلًا (فعلتُ)، وضميرُ الخطاب قبل ميم الجمع (فعلتُم)	في جدول «سألتمونيها» (letter_roles_draft.tsv)
